"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2002";"2003";"2004";"2005";"2006";"2007" 
"063902 Ekstraordinære humanitære bidrag "; 562,9; 555,0; 643,6; 619,0; 629,0; 634,0
"06390210 Ekstraordinære humanitære bidrag "; 509,8; 470,0; 459,0; 484,0; 494,0; 504,0
"06390211 Internationalt Humanitært Beredskab (IHB) "; 53,1; 55,0; 83,0; 55,0; 55,0; 55,0
"06390212 Bistand til flyg og internt fordrevne i nærom"; 0,0; 30,0; 101,6; 80,0; 80,0; 75,0
"064 Danmarks Eksportråd "; 492,3; 462,0; 110,8; 106,9; 89,5; 89,5
"0641 Fællesudgifter "; 492,3; 462,0; 110,8; 106,9; 89,5; 89,5
"064101 Danmarks Eksportråd "; 360,6; 349,4; 0,0; 0,0; 0,0; 0,0
"06410110 Almindelig virksomhed "; 360,6; 349,4; 0,0; 0,0; 0,0; 0,0
"064102 Eksportstipendiater "; 53,6; 57,9; 56,3; 59,6; 59,6; 59,6
"06410210 Eksportstipendiater "; 53,6; 57,9; 56,3; 59,6; 59,6; 59,6
