"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2003";"2004";"2005";"2006";"2007";"2008" 
"063606 FN, øvrige bistandsprogrammer "; 245,3; 221,8; 281,4; 219,8; 219,8; 219,8
"06360610 FN's organisation for industriel udv. (UNIDO)"; 10,1; 5,0; 5,6; 5,0; 5,0; 5,0
"06360611 UNSO "; -1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06360613 FN's arbejdsorganisation (ILO) "; 41,7; 20,0; 20,0; 20,0; 20,0; 20,0
"06360614 FN's org. for kultur og undervisning (UNESCO)"; 10,0; 5,0; 5,0; 5,0; 5,0; 5,0
"06360615 Øvrige FN "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06360616 Multilaterale rådgivere "; 93,7; 85,0; 80,8; 85,0; 85,0; 85,0
"06360618 Firmarådgivere "; 0,6; 2,0; 2,7; 2,0; 2,0; 2,0
"06360619 FN-forbundet i Danmark "; 1,2; 1,2; 1,2; 1,2; 1,2; 1,2
"06360621 FN's Fredsbevarende operationer "; 87,8; 100,0; 165,0; 100,0; 100,0; 100,0
"06360622 Den Fælles Råvarefond (CFC) "; 1,3; 3,6; 1,1; 1,6; 1,6; 1,6
"0637 Udviklingsbanker, -fonde og EU "; 1204,9; 1292,1; 1238,8; 1291,6; 1341,6; 1292,0
"063701 Verdensbankgruppen "; 474,1; 575,0; 503,4; 498,5; 548,5; 498,5
"06370110 Verdensbanken (IBRD) "; 55,1; 150,0; 11,0; 48,5; 48,5; 48,5
"06370111 Den internationale Udviklingssammenslu. (IDA)"; 400,0; 400,0; 466,4; 420,0; 420,0; 420,0
"06370112 Valutafondens Strukturprogram (PRGF) "; 3,0; 0,0; 1,0; 0,0; 50,0; 0,0
"06370113 Den internationale finansieringsinsti. (IFC) "; 10,0; 10,0; 10,0; 15,0; 15,0; 15,0
"06370114 Bistand til Mellemøsten gennem IBRD "; 5,9; 15,0; 15,0; 15,0; 15,0; 15,0
"063702 Regionale udviklingsbanker "; 47,9; 45,1; 107,6; 120,1; 120,1; 120,5
"06370210 Den afrikanske Udviklingsbank (AfDB) "; 17,1; 17,5; 82,5; 92,5; 92,5; 92,5
"06370211 Den asiatiske Udviklingsbank (AsDB) "; 19,8; 15,0; 15,0; 15,0; 15,0; 15,0
"06370212 Den interamerikanske Udviklingsbank (IDB) "; 11,0; 12,6; 10,1; 12,6; 12,6; 13,0
"063703 Regionale udviklingsfonde og øvrige fonde "; 333,0; 322,0; 205,3; 211,0; 211,0; 211,0
